age,bigFamily,buildingBuilt,buildingOwner,buildingSize,buildingType,elder,elecCosts,e_price,envBehav,envBehav01,fridgeCurAge,fridgeCurClss,fridgeCurIncl,fridgeCurSize,fridgeMaxOpts,fridgeMinOpts,fridgeNewLife,fridgeNewPlan,fridgeRentEne,fridgeRentOth,fridgeRentPro,fridgeRentSto,heatAge,heatConsArea,heatCost,heatCostEst,heatCostRep,heatLife,heatPlan,heatType1,heatType2,hhMembers,income,lowIncome,rebates,recComTec,recEnePro,recGov,recIndAge,recMedia,recNeiRelFri,recNonGovEnv,recPriWebBlo,recResIns,recSocNet,thermAppCnt,thermAppDwn,thermAppInf,thermPhone,thermPlan,thermProg,thermSmart,,heatLife,heatPlan,rebatesWhite,,heatRentBuil,heatRentEPro,heatRentInst,heatRentOthe,heatRentProd,,fridgeRentEne,fridgeRentOth,fridgeRentPro,fridgeRentSto
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
25,1,1980-1989,N,C,detached,0,NA,62,2,0,NA,NA,NA,NA,25,2,NA,NA,NA,NA,NA,NA,No,114,1200,1070.955,1200,5,Don't know,GasBoiler,GasBoiler,3,1000,0,None,1,3,1,3,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,,5,DontKnow,NA,,3,3,3,3,3,,NA,NA,NA,NA
