Country,Type,D,C,B,A,A+,A++,A+++
France,Fridge,0.28,1.71,9.86,33.99,41.94,12.17,0.00
Germany,Fridge,0.02,0.79,8.73,31.10,31.16,18.03,10.11
Italy,Fridge,0.12,4.79,7.51,30.74,42.88,13.75,0.00
Poland,Fridge,0.02,1.97,10.87,26.70,43.59,16.85,0.00
Spain,Fridge,0.27,4.60,12.94,29.85,41.11,11.20,0.00
Sweden,Fridge,0.08,1.33,7.23,38.43,38.96,13.93,0.00
UK,Fridge,0.20,4.03,8.07,30.81,50.84,5.98,0.00
Romania,Fridge,3.00,0.81,9.18,28.97,48.39,12.52,0.00
France,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
Germany,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
Italy,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
Poland,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
Spain,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
Sweden,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
UK,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
Romania,Heating System,1.01,5.78,24.61,46.87,21.73,0,0
