"ID","label","price","lifetime","lifetime-standard-deviation","introduction-year","remote","display"
1,A,100,10,3,0,0,0
2,A,19,10,3,0,0,0
3,A,31.4,10,3,0,1,1
4,A,179.3,10,3,0,0,0
5,A,189,10,3,0,0,0
6,A,279,10,3,0,0,0
7,A,450,10,3,0,0,0
8,A,79,10,3,0,0,0
9,A,623,10,3,0,1,0
10,A,133,10,3,0,0,0
11,A,383,10,3,0,1,1
12,A,299,10,3,0,1,1
13,A,86.75,10,3,0,1,0
14,A,175.45,10,3,0,1,1
15,A,110,10,3,0,0,0
16,A,99,10,3,0,0,0
17,A,117,10,3,0,0,0
18,A,634,10,3,0,0,0
19,A,99.95,10,3,0,0,0
20,A,229,10,3,0,0,0
21,A,349,10,3,0,0,0
22,A,49,10,3,0,1,1
23,A,38,10,3,0,0,0
24,A,193.9,10,3,0,0,0
25,A,40,10,3,0,0,0
26,A,99.95,10,3,0,0,0
28,A,599,10,3,0,0,0
29,A,193.9,10,3,0,0,0
30,A,109,10,3,0,0,0
31,A,336,10,3,0,1,0
32,A,99,10,3,0,0,0
33,B,0,10,3,0,0,0
34,B,0,10,3,0,0,0
35,B,0,10,3,0,0,0
36,B,0,10,3,0,0,0
37,B,0,10,3,0,0,0
38,B,0,10,3,0,0,0
39,B,0,10,3,0,0,0
40,B,0,10,3,0,0,0
41,B,0,10,3,0,0,0
42,B,0,10,3,0,0,0
43,B,0,10,3,0,0,0
44,B,0,10,3,0,0,0
45,B,0,10,3,0,0,0
46,B,0,10,3,0,0,0
47,B,0,10,3,0,0,0
48,B,0,10,3,0,0,0
49,B,0,10,3,0,0,0
50,B,0,10,3,0,0,0
51,B,0,10,3,0,0,0
52,B,0,10,3,0,0,0
53,B,0,10,3,0,0,0
54,B,0,10,3,0,0,0
55,B,0,10,3,0,0,0
56,B,0,10,3,0,0,0
57,B,0,10,3,0,0,0
58,B,0,10,3,0,0,0
59,B,0,10,3,0,0,0
60,B,0,10,3,0,0,0
61,B,0,10,3,0,0,0
62,B,0,10,3,0,0,0
63,B,0,10,3,0,0,0
64,B,0,10,3,0,0,0
